epoch,loss,accuracy
1,1.8951,0.4203
2,1.043,0.6291
3,0.8614,0.685
4,0.7692,0.7143
5,0.7036,0.7365
6,0.6247,0.7648
7,0.5335,0.7979
8,0.4679,0.8216
9,0.4192,0.8394
10,0.3809,0.8534
11,0.3523,0.8635
12,0.3297,0.8715
13,0.3121,0.8776
14,0.2981,0.8825
15,0.2871,0.8861
16,0.2777,0.8891
17,0.2696,0.8919
18,0.2626,0.8942
19,0.2569,0.896
20,0.2516,0.8976
21,0.247,0.8993
22,0.2428,0.9006
23,0.239,0.9017
24,0.2358,0.9029
25,0.2327,0.9039
26,0.2297,0.9047
27,0.2272,0.9055
28,0.2244,0.9065
29,0.2222,0.9071
30,0.2203,0.9078
31,0.2184,0.9084
32,0.2166,0.909
33,0.2147,0.9096
34,0.2131,0.9101
35,0.2115,0.9106
36,0.2099,0.911
37,0.2086,0.9116
38,0.2072,0.912
39,0.2059,0.9125
40,0.2048,0.9128
41,0.2035,0.9132
42,0.2023,0.9136
43,0.2011,0.9141
44,0.2001,0.9144
45,0.1992,0.9147
46,0.1982,0.915
47,0.1972,0.9154
48,0.1964,0.9156
49,0.1954,0.9159
50,0.1947,0.9162
51,0.1937,0.9166
52,0.193,0.9168
53,0.1922,0.917
54,0.1916,0.9172
55,0.1908,0.9175
56,0.1901,0.9178
57,0.1894,0.9178
58,0.1888,0.9181
59,0.1883,0.9182
60,0.1876,0.9185
61,0.1869,0.9187
62,0.1862,0.919
63,0.1858,0.9191
64,0.1854,0.9193
65,0.1845,0.9195
66,0.1843,0.9195
67,0.1836,0.9197
68,0.1833,0.92
69,0.1828,0.9201
70,0.1822,0.9204
71,0.1818,0.9205
72,0.1814,0.9205
73,0.1809,0.9207
74,0.1805,0.9209
75,0.1802,0.9209
76,0.1796,0.9212
77,0.1792,0.9213
78,0.1787,0.9214
79,0.1783,0.9216
80,0.1782,0.9216
81,0.1775,0.9219
82,0.1774,0.9219
83,0.1768,0.9221
84,0.1766,0.9222
85,0.1762,0.9223
86,0.1759,0.9224
87,0.1756,0.9225
88,0.1751,0.9227
89,0.1748,0.9228
90,0.1745,0.9229
91,0.1742,0.923
92,0.1738,0.9231
93,0.1736,0.9233
94,0.1732,0.9233
95,0.173,0.9235
96,0.1728,0.9235
97,0.1723,0.9237
98,0.1722,0.9238
99,0.1718,0.9238
100,0.1714,0.9239
