epoch,loss,accuracy
1,1.0992714,0.64476186
2,0.4727347,0.8426126
3,0.32160544,0.8951888
4,0.26996443,0.9125576
5,0.24263215,0.92159694
6,0.22518443,0.9274701
7,0.2131026,0.9313759
8,0.20380352,0.9343294
9,0.19642991,0.93675274
10,0.19051641,0.9386992
11,0.18537866,0.9402957
12,0.18116833,0.9416597
13,0.17757393,0.9427743
14,0.17414917,0.9438146
15,0.17128427,0.94477576
16,0.16864535,0.9455834
17,0.16630283,0.9462753
18,0.16421299,0.9469454
19,0.16213241,0.94760275
20,0.1601278,0.9482281
21,0.15848063,0.94875485
22,0.15682536,0.9492246
23,0.15546905,0.9497572
24,0.15412387,0.95002973
25,0.15274267,0.9505771
26,0.15150613,0.95097065
27,0.15027612,0.9512672
28,0.14922142,0.951629
29,0.14832997,0.9518335
30,0.14711103,0.95226413
31,0.14633672,0.9524687
32,0.14532,0.9527939
33,0.14456618,0.9530424
34,0.14376685,0.95323575
35,0.14288612,0.9535781
36,0.14198434,0.95383686
37,0.14142781,0.95398843
38,0.14070258,0.95424694
39,0.13998006,0.9545181
40,0.13938415,0.9546042
41,0.13879748,0.954816
42,0.13806798,0.9550096
43,0.1375668,0.95517606
44,0.13702537,0.9553384
45,0.1364125,0.9555099
46,0.13588646,0.9556709
47,0.13535143,0.9558253
48,0.13491024,0.9559321
49,0.1342713,0.95618254
50,0.13397078,0.95623463
51,0.13351521,0.95638615
52,0.13300437,0.95654136
53,0.13248889,0.9567298
54,0.13217609,0.9567829
55,0.13168001,0.9570122
56,0.13133459,0.9570926
57,0.130995,0.9571741
58,0.13051192,0.9573362
59,0.13000576,0.9574958
60,0.12973303,0.9575474
61,0.12955959,0.9575829
62,0.12912993,0.95770705
63,0.12866376,0.95786434
64,0.12836258,0.9579397
65,0.12802254,0.95806515
66,0.12780383,0.95810086
67,0.12740673,0.9582187
68,0.12712006,0.95836186
69,0.1268608,0.95840806
70,0.12652545,0.95847106
71,0.12612557,0.95857924
72,0.12583102,0.95870024
73,0.12565,0.95874906
74,0.1254594,0.9588687
75,0.12505326,0.958952
76,0.12492375,0.95894426
77,0.12446511,0.9591259
78,0.12438634,0.95907015
79,0.12409092,0.9592033
80,0.12379015,0.9593159
81,0.12362629,0.95938045
82,0.123419985,0.9594035
83,0.12299477,0.9595267
84,0.122961506,0.95957685
85,0.12273031,0.9596474
86,0.122327745,0.95975834
87,0.122228816,0.95978135
88,0.12195176,0.9598871
89,0.12170709,0.9599338
90,0.12164292,0.959948
91,0.1213224,0.9600157
92,0.12105322,0.9601034
93,0.12092491,0.9601592
94,0.12057711,0.960287
95,0.12050663,0.9602512
96,0.1204334,0.96032304
97,0.12005852,0.96042067
98,0.11994225,0.96049863
99,0.119691916,0.9605343
100,0.11948224,0.9605847
101,0.119481236,0.96062887
102,0.119194396,0.9607046
103,0.11905857,0.96072006
104,0.11878021,0.9607699
105,0.1187584,0.9608159
106,0.11854045,0.9608594
107,0.118340835,0.96094733
108,0.11819346,0.96095634
109,0.117966816,0.9610874
110,0.117911,0.9610692
111,0.11764131,0.961175
112,0.117536716,0.96114564
113,0.11736063,0.9612451
114,0.11719854,0.9612294
115,0.11696516,0.9613438
116,0.117034584,0.9613589
117,0.116912425,0.96135813
118,0.11661597,0.9614603
119,0.116565734,0.9614432
120,0.11632256,0.96159476
121,0.11618358,0.96155816
122,0.11603441,0.961644
123,0.115896136,0.9616024
124,0.115747884,0.96172416
125,0.11550828,0.96177083
126,0.115495846,0.9617552
127,0.11543424,0.96179634
128,0.11507624,0.96190226
129,0.11511791,0.9618989
130,0.114928514,0.9619402
131,0.114872664,0.96193236
132,0.1147284,0.9620193
133,0.11455461,0.96200395
134,0.114461526,0.96208185
135,0.11435417,0.96216047
136,0.11420047,0.9621916
137,0.114053115,0.9621708
138,0.1139828,0.9622414
139,0.113960594,0.962227
140,0.11372153,0.9622866
141,0.11365698,0.9622698
142,0.113462,0.9623482
143,0.11341159,0.96239054
144,0.113226466,0.96244323
145,0.11308817,0.96249384
146,0.11307138,0.96251136
147,0.11296847,0.9625378
148,0.11282134,0.9625672
149,0.11283672,0.96254295
150,0.11258588,0.9626405
151,0.11252411,0.96263677
152,0.112444595,0.9626571
153,0.11237261,0.9626808
154,0.11226091,0.9627209
155,0.11212714,0.9627976
156,0.111962564,0.9628428
157,0.11194982,0.96284485
158,0.11174322,0.9628933
159,0.11162247,0.96292305
160,0.111689776,0.9628722
161,0.111513,0.9629161
162,0.11135887,0.9629754
163,0.11128625,0.96300924
164,0.1112716,0.962967
165,0.11109773,0.96304286
166,0.11103016,0.9631074
167,0.11089782,0.96309364
168,0.11082571,0.9631246
169,0.11076113,0.96309376
170,0.110662855,0.96317023
171,0.110598244,0.963223
172,0.11047689,0.96328765
173,0.11047074,0.96327806
174,0.110403925,0.96330124
175,0.11031027,0.96326923
176,0.11021651,0.9633549
177,0.10998962,0.9634506
178,0.109950185,0.96336216
179,0.11001061,0.9634181
180,0.10979172,0.9634281
181,0.10966889,0.96349466
182,0.10960598,0.96352553
183,0.109674774,0.9634859
184,0.109470464,0.9635682
185,0.10947913,0.96355826
186,0.109214336,0.9636629
187,0.10923832,0.96362436
188,0.109158665,0.9636543
189,0.10898496,0.96373284
190,0.1088616,0.96370125
191,0.10888165,0.9637036
192,0.10882191,0.9637304
193,0.10865648,0.96381277
194,0.108790115,0.9637881
195,0.108749904,0.9637522
196,0.10863306,0.96381134
197,0.10848253,0.9638472
198,0.108429395,0.9638744
199,0.108416274,0.9639257
200,0.10824258,0.9639262
