epoch,loss,accuracy
1,1.7210891,0.53359205
2,0.91596204,0.70392567
3,0.610041,0.8083635
4,0.4793912,0.8490632
5,0.41963345,0.8673407
6,0.38388407,0.87830824
7,0.3592689,0.8859795
8,0.34123883,0.8916679
9,0.32720703,0.8959647
10,0.31546846,0.8996277
11,0.30592895,0.9025891
12,0.29795018,0.90501976
13,0.29084322,0.90734416
14,0.28459358,0.9092393
15,0.27944836,0.9107764
16,0.27458048,0.91217625
17,0.27016315,0.9136754
18,0.26612118,0.91493547
19,0.26251218,0.9160603
20,0.25947267,0.9169889
21,0.2561121,0.9179997
22,0.25355193,0.9188576
23,0.25070345,0.91965795
24,0.24828386,0.9205141
25,0.24601804,0.9211957
26,0.24386814,0.92179614
27,0.24193934,0.92243695
28,0.2399477,0.923069
29,0.2381298,0.9236237
30,0.2363012,0.9240971
31,0.23462102,0.92466116
32,0.23312373,0.9251501
33,0.2315923,0.9256512
34,0.2302956,0.9260113
35,0.22889909,0.9264963
36,0.22753789,0.9268798
37,0.22637853,0.9272335
38,0.22529775,0.9276054
39,0.22378063,0.9280482
40,0.2227584,0.9283711
41,0.22180212,0.9286063
42,0.22061677,0.92899305
43,0.21960714,0.9293184
44,0.2185973,0.9295873
45,0.2177827,0.9299612
46,0.21679612,0.9301995
47,0.21611203,0.9303814
48,0.21516421,0.9306279
49,0.21416785,0.9310224
50,0.21338275,0.9312365
51,0.21276325,0.9314217
52,0.21218362,0.9316215
53,0.21125728,0.9319388
54,0.21048091,0.93211615
55,0.20975225,0.9323031
56,0.20920557,0.93251884
57,0.20860909,0.9327652
58,0.20773348,0.93295854
59,0.20724188,0.933159
60,0.20669253,0.93329495
61,0.20592976,0.9335158
62,0.20539807,0.9336696
63,0.20489262,0.9338122
64,0.20428137,0.9339588
65,0.2037811,0.93421537
66,0.20323126,0.9343352
67,0.20263676,0.93457174
68,0.20211598,0.934693
69,0.20166811,0.9347844
70,0.20118654,0.93502593
71,0.20053072,0.9351714
72,0.20008232,0.9352695
73,0.1998011,0.9353905
74,0.19931284,0.93546736
75,0.19867489,0.9357694
76,0.19842373,0.93581635
77,0.19787021,0.9360693
78,0.19759682,0.93606764
79,0.19714366,0.93617976
80,0.19684003,0.9362795
81,0.19610289,0.93648905
82,0.19584003,0.9366134
83,0.19558027,0.93667513
84,0.19521363,0.9368595
85,0.19473465,0.9368754
86,0.19436646,0.93705636
87,0.19405885,0.93712
88,0.19387425,0.93723255
89,0.19331387,0.93738467
90,0.19275884,0.93757004
91,0.1926861,0.9376165
92,0.19218448,0.93767625
93,0.19202319,0.937791
94,0.19160908,0.9379064
95,0.19122891,0.9380213
96,0.19106147,0.93809056
97,0.19078067,0.93815124
98,0.19032322,0.93833745
99,0.18987513,0.93846864
100,0.18971841,0.93849427
101,0.18943954,0.9386287
102,0.18924049,0.9386577
103,0.18892288,0.9386949
104,0.1886109,0.938803
105,0.18821499,0.93889797
106,0.18799253,0.9390362
107,0.1877543,0.939063
108,0.18741596,0.93920237
109,0.18723956,0.9391983
110,0.18720262,0.93920225
111,0.18684596,0.939373
112,0.18659504,0.9394536
113,0.18620223,0.9396158
114,0.18611488,0.93950385
115,0.18574424,0.9397204
116,0.18545683,0.93976945
117,0.18534169,0.9397834
118,0.18496117,0.9399349
119,0.18479368,0.9400493
120,0.1846348,0.94004136
121,0.18424329,0.94014126
122,0.1840141,0.9402541
123,0.18385723,0.94027895
124,0.18372661,0.94026005
125,0.18347043,0.94034654
126,0.18330662,0.940457
127,0.18316144,0.9405016
128,0.18291742,0.9404908
129,0.18250497,0.9406383
130,0.18239857,0.94070977
131,0.18220943,0.940749
132,0.18220589,0.9407562
133,0.18182553,0.9409356
134,0.18161334,0.9409623
135,0.18151373,0.94097686
136,0.18121532,0.9410876
137,0.1811047,0.941051
138,0.1808661,0.94118315
139,0.18083484,0.9412083
140,0.18057641,0.9413324
141,0.18031368,0.9413927
142,0.17997737,0.9414762
143,0.1798862,0.9414613
144,0.17987305,0.94151497
145,0.17953375,0.94158536
146,0.17923874,0.941687
147,0.17905812,0.9417249
148,0.17912038,0.94173056
149,0.17869683,0.9418036
150,0.17862536,0.94184905
151,0.17849247,0.9419238
152,0.17847,0.9418912
153,0.17816846,0.9420901
154,0.17803313,0.9420644
155,0.17785993,0.9420476
156,0.17765392,0.9422177
157,0.17751624,0.94216365
158,0.1773555,0.9421898
159,0.17727245,0.9422929
160,0.17693563,0.9423978
161,0.17698288,0.94233334
162,0.17673515,0.94244516
163,0.17660533,0.94250697
164,0.17653926,0.9425327
165,0.17633374,0.942539
166,0.17622402,0.9426816
167,0.17607827,0.9425853
168,0.17597324,0.94272846
169,0.17578672,0.9427576
170,0.17556593,0.9428653
171,0.17539246,0.942866
172,0.1753516,0.9429026
173,0.17529145,0.9429079
174,0.17502011,0.9430087
175,0.17480908,0.943008
176,0.17481792,0.9430405
177,0.17461318,0.9431451
178,0.17456025,0.9430836
179,0.17440477,0.9431275
180,0.17431499,0.9432128
181,0.17412096,0.94322234
182,0.17390414,0.9432212
183,0.17391165,0.9433331
184,0.17369747,0.9433685
185,0.17372212,0.9433412
186,0.17348701,0.94343084
187,0.17341049,0.9433881
188,0.1733453,0.94346184
189,0.1730214,0.94350904
190,0.1730038,0.94360614
191,0.17279038,0.9436499
192,0.17271185,0.94365805
193,0.17264773,0.94364846
194,0.1723633,0.9437966
195,0.1722331,0.943823
196,0.17208655,0.943861
197,0.17213173,0.94382775
198,0.1719065,0.94395316
199,0.171956,0.943917
200,0.17170338,0.94402796
